Validator,Stake,Reward,Sortition
1, 1000, 119, 120
2, 1000, 160, 162
3, 1000, 137, 135
4, 1000, 144, 144
5, 1000, 113, 115
6, 1000, 140, 141
7, 1000, 144, 144
8, 1000, 134, 132
9, 1000, 149, 149
10, 1000, 134, 136
11, 1000, 135, 137
12, 1000, 170, 170
13, 1000, 136, 143
14, 1000, 127, 130
15, 1000, 151, 151
16, 1000, 130, 134
17, 1000, 120, 120
18, 1000, 138, 142
19, 1000, 129, 133
20, 1000, 126, 123
21, 1000, 125, 124
22, 1000, 136, 137
23, 1000, 137, 140
24, 1000, 133, 130
25, 1000, 154, 148
26, 1000, 149, 145
27, 1000, 169, 166
28, 1000, 148, 149
29, 1000, 132, 129
30, 1000, 132, 131
31, 1000, 147, 157
32, 1000, 144, 148
33, 1000, 135, 136
34, 1000, 107, 106
35, 1000, 164, 161
36, 1000, 132, 132
37, 1000, 147, 146
38, 1000, 132, 129
39, 1000, 151, 140
40, 1000, 136, 135
41, 1000, 142, 141
42, 1000, 150, 143
43, 1000, 162, 166
44, 1000, 160, 151
45, 1000, 129, 135
46, 1000, 144, 148
47, 1000, 128, 131
48, 1000, 156, 158
49, 1000, 134, 133
50, 1000, 141, 143
51, 1000, 148, 145
52, 1000, 132, 135
53, 1000, 122, 122
54, 1000, 133, 129
55, 1000, 137, 134
56, 1000, 170, 176
57, 1000, 115, 117
58, 1000, 124, 126
59, 1000, 142, 141
60, 1000, 134, 132
61, 1000, 136, 134
62, 1000, 118, 119
63, 1000, 151, 155
64, 1000, 124, 122
65, 1000, 112, 119
66, 1000, 137, 137
67, 1000, 146, 144
68, 1000, 135, 135
69, 1000, 137, 142
70, 1000, 140, 132
71, 1000, 130, 130
72, 1000, 138, 136
73, 1000, 125, 125
74, 1000, 145, 146
75, 1000, 146, 140
76, 1000, 137, 138
77, 1000, 156, 154
78, 1000, 140, 143
79, 1000, 147, 142
80, 1000, 112, 116
81, 1000, 153, 154
82, 1000, 126, 128
83, 1000, 134, 136
84, 1000, 135, 135
85, 1000, 152, 150
